"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Lincoln County","NE","North Platte","31","111",1243,124000,124500,129900,124775,119900,113500,119000,121900,119900,115500,117750,112500,120950,111450,112400,111400,114900,116500,129000,127500,118000,124500,115000,111000,119500,129900,129950,137000,129450,139000,137400,124600,120000,125000,125000,125000,130000,137100,133950,135950,138550,125000,119000,110000,110000,110000,110000,112000,122250,115000,119500,134900,137250,140000,139900,129000,129950,125000,119000,125500,124900,134999,136500,143000,134950,129900,137700,139000,134450,137200,140000,150000,139000,149000,149000,162900,165900,165000,167900,154500,154700,148750,159900,162000,175000,172500,163900,168750,169000,175000,169900,160950,155950,152000,159000,162900,160000,165000,165700,175000,178500,180000,175000,175000,169450,175500,164950,164450,159500,159900,165000,160000
"Hale County","TX","Plainview","48","189",1244,,,,,,,,,99500,96500,90000,90000,87000,91500,90750,95000,109700,103500,99900,1e+05,1e+05,87198,86525,87212.5,81200,86950,96500,85500,89500,94000,92500,86450,80000,79950,88900,94900,109750,99950,99500,101900,95250,101900,112500,103750,94950,105000,99750,104250,1e+05,115000,110000,110000,109200,104900,108900,104000,99500,97500,99250,104000,105250,105000,109750,106500,119825,122500,127245,121250,129900,128500,129500,125000,126000,119900,119950,114997.5,115900,115000,112400,111200,108500,112700,105000,115700,114900,104450,107900,107900,117750,113700,116700,110000,120700,124225,119700,118500,118500,122950,125000,125000,125000,140000,130000,127450,125000,110000,114900,119900,115000,118950,119950,124900
"Halifax County","VA",,"51","083",1245,119900,119950,120000,129000,129900,129950,131700,134900,134950,139900,137500,134900,130000,129900,129900,129900,129400,129900,129000,127950,128275,125000,119900,118957.5,122950,120000,115000,111194,107900,114900,99900,99900,99900,99000,107500,110000,110000,119000,124900,129900,129900,129900,124900,119947.5,124900,123400,124900,120000,124900,119900,119500,124900,129450,129900,129900,129900,125900,125000,127000,120000,119999,119900,120000,125000,124900,124900,124900,127500,129900,129900,129450,129900,129000,119900,119900,119900,115000,115000,114950,115000,109900,112450,110000,114900,114900,114900,119700,119250,110000,114450,116000,118000,119900,119950,119950,119900,118900,99900,99900,1e+05,112900,109000,111450,105000,119900,119900,125000,121000,129900,129900,135000,129900
"Webster County","MO","Springfield","29","225",1246,135000,129900,139900,137500,139900,139900,139900,134900,134900,134900,134900,134900,129450,129900,129950,129900,134900,135450,134900,136000,136750,134900,130900,127500,119900,122500,129900,132500,129900,134900,132500,129900,129900,129500,127700,122950,119900,122900,125000,129900,134900,129900,134900,131900,129900,127900,129900,131900,129900,133950,142500,145000,149900,149925,145000,147900,138700,139900,136900,134900,133250,149900,149900,149900,149900,139950,139900,135000,135000,134900,139900,134950,129900,128290,134900,139900,144900,139900,144400,143900,139999,139900,138000,135000,139900,143400,149900,149900,144900,143000,144900,143000,151950,158900,157900,154900,151500,154400,154900,165900,160000,169900,169949.5,169900,169900,173450,170900,170950,178500,164500,165000,178950
"Scotland County","NC","Laurinburg","37","165",1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,128950,133450,129000,133450,130950,132900,129900,139900,142400,146950,137450,144543,149950,139900,154000,133250,129900,125750,119450,121000,122350,122750,124500,119900,117250,117250,122900
"Lee County","IL","Dixon","17","103",1248,134900,134900,136193,134900,129900,134900,134900,134900,136200,129900,129450,128950,129000,125000,124900,125000,126700,128250,126000,129000,129900,119900,119450,119900,119900,99200,109900,99550,94900,111000,115450,115900,106000,106950,114900,99900,99900,99900,93700,99500,97750,99900,99500,105000,114700,110000,107250,105000,99900,99900,105000,107700,109900,107000,109900,109900,105500,104900,99900,99900,104900,99900,99900,109900,109900,109900,109300,109900,106000,107500,107500,105000,109900,109900,114999,115000,114900,112900,119900,120000,120000,119900,115000,115000,109950,106599,109900,115000,118900,115500,116450,115000,115000,115000,119500,107000,112450,105000,119900,129000,119000,119900,119900,119450,119450,119000,115000,110000,117900,114900,119000,125000
"Douglas County","MN","Alexandria","27","041",1249,239000,223900,220000,219950,229000,229900,229000,229000,229000,225000,224000,219000,209900,2e+05,205000,219900,199900,198425,199000,199000,194950,189900,189900,189900,179900,175000,179900,180950,184750,181000,179450,178500,179900,181900,178500,174200,175000,174900,172450,173950,179000,180900,184900,179450,182500,179900,178700,169500,172499.5,179900,179900,181700,194250,206450,207900,199900,198000,199900,207400,191700,189900,198900,198900,209900,224900,229000,229900,229250,225595,229800,234500,212900,214500,214500,218900,219000,219000,218000,218450,224900,219000,219450,219000,214500,214900,219400,219900,234900,244900,239900,239900,249900,249900,249900,249900,249700,249900,249900,257000,258000,259950,259000,258500,254900,268000,264900,278000,274950,269900,260000,269900,279900
"Oneida County","WI",,"55","085",1250,219500,219500,2e+05,199900,209900,224000,209800,209900,209900,214000,210000,209000,199999.5,199000,210000,214000,211250,199900,199000,198500,190500,188900,184900,175000,169950,169900,178350,169000,169500,169900,169000,164900,164900,159900,149500,146900,164500,159900,164500,169900,182000,195000,194500,178500,179000,174900,174900,169000,169500,169900,179000,179900,189900,197700,199000,199000,199000,195000,189000,184900,185000,186750,181500,194950,190000,199900,199900,199900,199000,197200,184997.5,189900,189900,189900,196000,199000,199000,195000,194700,198450,198000,193000,189900,189000,189000,187000,194949.5,210000,219500,219900,224000,224900,219900,216999,214900,211999,205000,199900,199000,199999,216175,218700,209250,206900,215000,219900,219450,219500,214700,199900,209000,215000
"Saint Bernard Parish","LA","New Orleans-Metairie","22","087",1251,119900,119900,120000,120000,119000,119000,119000,119838.5,119000,118000,119838.5,115000,110000,110000,110000,113500,114900,115000,115000,112500,109900,114900,110000,109900,109900,109950,110000,109900,109200,110000,111000,115000,115000,115000,124900,124900,124000,124000,124000,124900,120500,121500,121000,118375,124450,125000,125000,126950,127000,126000,129900,130700,135800,135800,132650,129950,135000,133862.5,133862.5,134562.5,133500,135000,132400,132400,135000,135000,139000,135000,137500,135000,139900,145000,145000,141100,145000,145000,149000,149999,149999,159000,159500,160000,160000,160000,159000,159000,159900,159000,163250,159900,155000,155000,159000,159000,159000,155000,154000,163000,159900,159900,160000,153750,159900,159000,159450,159000,156900,156500,159000,159000,159900,169000
"Lee County","IA","Fort Madison-Keokuk","19","111",1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136250,117000,117500,99900,94500,99250,99000,93000,92500,93000,105000,112200,101000,104950,110000,109900,109000,105900,104000,96850,99500,107950,99000,105900,109000,99500,99500,108250,108250,109000,109575,110000,109900,110000,110000,112000
